entity,nSeries,Mvox,sumSlices,predCost,predCostLo95,predCostHi95,actualCost,absErr,pctErr,inInterval,predRuntimeMin,actualRuntimeMin,inference_predMin,inference_predCost,outputConversion_predMin,outputConversion_predCost,inference_runtimeMin,inference_estCost,outputConversion_runtimeMin,outputConversion_estCost
1,21,926.624768,3297,0.669,0.5594,0.7785,0.5796,0.08940000000000003,15.424430641821951,True,248.91,269.84,155.68,0.5612,93.23,0.1078,172.77,0.4795,97.07,0.1001
2,18,799.934432,2551,0.5822,0.4891,0.6753,0.4695,0.11270000000000008,24.00425985090524,False,218.12,200.62,136.04,0.4874,82.08,0.0948,86.54,0.3571,114.08,0.1124
3,21,906.046784,3319,0.6617,0.5523,0.7711,0.5323,0.12939999999999996,24.309599849708803,False,244.79,233.47,154.23,0.5569,90.57,0.1048,136.25,0.4418,97.22,0.0905
